اني احبك او اتمناك زوجتي ، او اني	مشتاق	اليك ؟. 4ـ هل يجوز ان امدحها واقول لها عبارات:
عن هذا اليمين ؟ سؤالي: هو ذو	علاقة	بالحاسب الآلي واستخداماته الله ان يقبل توبتنا وان يصلحنا ويهدينا ، وسؤالي
عقدت القران على زوجتي وخلوت بها لكن دون	جماع	ولم يكن الزفاف حصل بعد, ثمَّ استفتيتُ فقال لي وكفرت كفارة
، الشذوذ الجنسي وفي احدى الحلقات كان الموضوع	زنا	الاب وابنته ، وعندما ارفض ان تشاهد زوجتي هذا البرنامج لانه يكشف
زوجتي في الدورة الشهرية فانني اقوم بمداعبتها بدون	ايلاج	حتى الانزال واثقلت عليها بكثرة ذلك فاقسمت وانا كرامتي لا تسمح باكثر
بان اعيش في بالمصاهرة اي يعتبر هذا التخيل	زنا	؟) انا متزوج مند شهر و لم اجامع زوجتي حتى الآن
من ان لا اسيقظ وقت السحر وبعد النية	جامعت	زوجتي واغتسلت ونمت ولم اصح على السحور فهل صيامي صحيح ام لا
زوجتي ؟ وهل اقول الدعائين دائماً عند كل	جماع	ام في اول ليله من زواجي. اذا قرات الدعاء الاول واخذت
اشهر ، لكن الذي حصل ان زوجتي في	العادة	كانت تتاخر عندها الدورة الشهرية ، وهي بنت وقد تستمر 3 اشهر
الشرعية بين الخاطب والوكيل قد تمت. انا	ارغب	في زوجتي بشدة ، وهي في اوقات كثيرة ترفض ولا تحب ان
كثيراً ، فهل من رجل متزوج و لدي	شهوة	جنسية كبيرة ، و المشكل انني عند ما اطلب من زوجتي الجماع
، فهل من رجل متزوج و لدي شهوة	جنسية	كبيرة ، و المشكل انني عند ما اطلب من زوجتي الجماع تارة
، واريد خير. هل يجوز للرجل ان	يجامع	زوجته من الامام بالملابس ؟. تعرفت على زوجتي عن طريق الانترنت
الشرعية وبعد الزواج ب5 اشهر دخلت زوجتي الاسلام	رغبة	منها وتعلمت الواجبات والفروض والقرآن عن طريقي وعن طريق بعض نساء الدعوة
الشيخ ، واصبحت اعاشر زوجتي ، ولكني في	واقع	الامر اعاشرها ، واشك في صحة العقد ، ولم اطمئن لفتواه خطبتها
، فهل هذا الزواج باطل ؟ وهل يعتبر	زنا	؟. تزوجت من زوجتي زواجاً صحيحا ، مستوفياً للشروط الشرعية ،
ثلاثة ذهبت لبيت زوجتي وطلبت من ابيها اني	ارغب	في بنته ولكن بطريقة غير مباشرة ، وقبل ولكن بطريقة العقد بالطريقة
هذه البنت ؟. احب زوجتي ، ولدي	رغبة	زائدة ، وهي تعطيني الحد الادنى ، واخشى على نفسي من الفتنة
وترفض البقاء منفصلة عنه ، علما انه لا	يجامعني	خلال هذه الفترة لاصابتي بمرض جنسي ؟. زوجتي تاخرت دورتها ثم
انه لا يجامعني خلال هذه الفترة لاصابتي بمرض	جنسي	؟. زوجتي تاخرت دورتها ثم جاءتها فجاة ، ومضى عليها حوالي
عليها. ولكن طال الوضع ، وانا لدي	رغبات	جنسية ، ولا اريد الزواج من ثانية ، ولكن بسبب ما ذكرت
. ولكن طال الوضع ، وانا لدي رغبات	جنسية	، ولا اريد الزواج من ثانية ، ولكن بسبب ما ذكرت سابقا
انني متزوج واحب ان تكون لي ، وانا	ارغب	بالزواج من امراة ثانية من اجل انجاب الاولاد ، مع الابقاء على
، وقمت معه وعائلته بآداب الضيافة ، لكنه	خانني	بالغيب ؟ وما معه وعائلته بآداب الضيافة ، لكنه خانني بالغيب ؟
؟ وما معه وعائلته بآداب الضيافة ، لكنه	خانني	بالغيب ؟ وما رايكم هل يمكن ان تكون زوجتي مسحورة ؟ اولًا
الخلف. ماذا افعل ؟ وهل استطيع وضع	قضيب	اصطناعي ؟ بانتظار لجنة فتاويكم لقد قمت بشراء قطعة ارض انا وزوجتي
الثانية ولد وبنت ؟ فما حكم الشرع في	علاقة	زوجتي بابن عمها وابنائه وزوجاته ؟ وهل يجوز لابن عمها الاختلاء بها
هل آثم في هذا ؟ هل يجوز اذا	جامعت	زوجتي وانا لابس الملابس الداخلية ان اعود فالبسها بعد الاغتسال من الجنابة
واهلها ، ولعلهم كانوا يعتبرون الذهب هدية لا	علاقة	لها بالمهر المقدم. 4ـ في كانوا يعتبرون الذهب هدية لا علاقة
. 4ـ في كانوا يعتبرون الذهب هدية لا	علاقة	لها بالمهر المقدم. 4ـ في الآونة الاخيرة بدات زوجتي تذكر الموضوع
الزيارة وحتى قبلها كما تشكو زوجتي من عدوى	جنسية	لا تشفى مهما تعالجت واضطر للانقطاع عن معاشرتها لفترات طويلة حتى لا
سوءا بطول الوقت, و كذلك املك قدرة	جنسية	كبيرة و استطيع ان انكح زوجتي كل يوم ، قالوا لي لا
تواصلت هذه الحالة فلن استطيع نكاح زوجتي وسيحصل	شذوذ	. لهذا قلت لماذا لا افعل بعض الاشياء الصغيرة مع خطيبتي مثل
الا بعد علمي بنفسي ، واني لن اخرج	شهوتي	، وكذلك زوجتي علمت من نفسها ذلك ، وقد فعلنا ذلك كثيرًا
في مرة من المرات عندما شعرت بقرب خروج	شهوتها	، ابتعدت عني ، وهي شاكة خروج بعض شهوتها. الاسئلة:
، ابتعدت عني ، وهي شاكة خروج بعض	شهوتها	. الاسئلة: ١- ما حكم هذا الفعل ؟ ٢- وماذا على
يخرج منها ماء (مني) عند خروج	شهوتها	، فهل هذا يدل على ، واذا كان لا يجوز لي ذلك
فما حكم ذلك ؟ ولم انزل ولم اخرج	العضو	من الملابس اساساً ، وجزاكم ياتي لتنظيف البيت عدة ساعات في اليوم
لانني شككت فيها ، وفي النهاية اعترفت انه	نام	معها مرة بالقوة ، وبعد النهاية اعترفت انه نام معها مرة بالقوة
معها مرة بالقوة ، وبعد النهاية اعترفت انه	نام	معها مرة بالقوة ، وبعد يومين اجتمعت انا وزوجتي وامي وام زوجتي
وزوج اختي فانكر وانكرت ، وقالت قلت انه	نام	معي لكثرة الحاحك ، ولانك وعدتني اختي فقالت نريد ان تحضر الينا
الينا ، فذهبت وتفاجات بزوج اختي يعترف انه	نام	مع زوجتي اكثر من سنة ، وقال لي اشياء لا يعرفها غيري
واعطيتها مهرها ، ووقع الدخول. للعلم انا	ارغب	في الزواج ؛ لان زوجتي تعاني من مشاكل صحية ، تجعلها لا
واتفقنا على الزواج ، ولكنني متزوج ، ولا	ارغب	باعلام زوجتي لتجنب الانفصال ؛ لذلك بحثت عن صور الزواج المختلفة ،
منذ 8 سنوات ، وفي معظم الاوقات التي	ارغب	في عمل عزومة غداء لوالدي تغضب زوجتي وتماطل ولا ترحب بهذه العزومة
وفى اثناء ذلك دار بخاطري ان الحبل اذا	لامس	عمود الدش المعدن سوف تكون زوجتي... (تفهم ما اقصد يا
لا تدري اني طلقتها وبعد اقل من اسبوع	جامعتها	بدون عقد نكاح حرام. وهذا ليس سببا كافيا ؟ ما حكم
باني غير مستريح في زواجي ، وليس عندي	رغبة	في زوجتي بعد حدوث مشاكل بيني وبينها واهلها ادى الى الشتم.
بالقرية العالمية والمكان زحمة جدا واتهمتني زوجتي باني	لامست	بنتا متعمدا وحلفت لها بانني لم ارها وبعد ان ركبنا السيارة استمر
اي ليس انا اقسم بالله اي ليس لدي	رغبة	او نية مبطنة للزواج باخرى وعدم الصرف على زوجتي رغم وجود امكانياتها
من تزوجتها عرفيا كنت اعتبرها زوجتي حقاً وكنت	ارغب	باتمام الموضوع لولا ظهور من وفرت لي الحياة والمال والبيت فبعت كل
كان طلاقا على عكس ما افتوا به وانا	جامعت	زوجتي وذا في حد ذاتها رجعة فهل مجرد التفكير في انه لو
فهل مجرد التفكير في انه لو وقع وانا	جامعت	زوجتي زوجتي وذا في حد ذاتها رجعة فهل مجرد التفكير في انه
فهل مجرد التفكير في انه لو وقع وانا	جامعت	زوجتي والمفتي افتاني بانه لا طلاق يقع ؟ صرت اذهب الى اكثر
الاجتماعي ، بعد ان خيل اليها انني على	علاقة	باحداهن بالغ احدهم في النظر والاعجاب بي ؟ جزاكم الله خيرًا.
اجيبونا سريعا شكر الله لكم ونفع بعلمكم.	جامعت	زوجتي في اليوم السادس من الدورة, علمًا بان المعتاد ان الدورة
رجل متزوج والحمد لله ولكن عند رغبتي في	جماع	زوجتي كل 2 او 3 او 4 ايام وليس كل يوم ترفض
شهرين ، فانها تطلب الجماع, كما انها	ترغب	عادة في اطالة مدة الجماع اكثر من ساعة, علمًا ان زوجتي
، فانها تطلب الجماع, كما انها ترغب	عادة	في اطالة مدة الجماع اكثر من ساعة, علمًا ان زوجتي امراة
سنتين ، ومنعتها لاني اعرف انها هذا يعتبر	زنا	؟ وهل فعل هذه الاشياء حرام ؟ مع العلم ان نيتي انها
،, ولا اخفيكم بانني لا زلت امارس	العادة	السرية, واجدها الذ وامتع من معاشرة زوجتي, وصرت اتطلع لان
باسلوب غير محترم ، وجدتهم يضحكون على اشياء	جنسية	مرور حوالي الشهر على زواجي ، علما ان خطبتنا دامت 7 اشهر
طرفي بطلاق زوجتي ، لانني اعتبرت ما فعلته	خيانة	في المال ، وبناء على استشارتكم الكريمة والتي نصحتني اتواصل مع الفتاة
، اجامعها حين تطلب فقط ؛ لاني لا	ارغب	فيها لم انتبه لهذه الاشياء الا بعد الوضوء. هل اعيد الوضوء
نسيت زوجتي ان تقصر بعد العمرة وحدث بيننا	جماع	ثم تذكرت التقصير فما الحكم ؟ وجزاكم الله وبينه وقال انه لا
الرغم من اننا نسكن في مدن مختلفة.	علاقة	زوجتي بزوجة اخي تكاد تكون معدومة اذا كانت هناك علاقة اصلا.
بزوجة اخي تكاد تكون معدومة اذا كانت هناك	علاقة	اصلا. زوجتي تحاول الاتصال و مختلفة. علاقة زوجتي بزوجة اخي
اصلا. زوجتي تحاول الاتصال و مختلفة.	علاقة	زوجتي بزوجة اخي تكاد تكون معدومة اذا كانت هناك علاقة اصلا.
بزوجة اخي تكاد تكون معدومة اذا كانت هناك	علاقة	اصلا. زوجتي تحاول الاتصال و لكنها تقابل بالجفاء ولا ندري ما
السبب وراء ذلك. و السؤال: هل	علاقة	زوجتي بزوجة اخي صلة رحم وهل ياثمان بالقطيعة ؟ وهل انا و
. فهل يجوز له ذلك ؟ زوجتي عندها	عادة	اتعبتني في حياتي ، وهي سوء الظن بالناس ، جميع الناس.
دخولها على حسابها الشخصي ، ومساءلتها عن ستكون	علاقة	زوجة بحماتها ليس اكثر. وعندما وصل الي الامر ، كان ردي
لو انني شاهدت بالصلاة ـ وسوف امتنع عن	العادة	السرية ، لانني احيانا امارسها ، فانا مغترب عن زوجتي ، وقلت
من عدم انتظام الحيض, بل ياتيها الحيض	عادة	كل الزواج و اني اسال الله عز وجل ان يريني في منامي
. تزوجت في شهر 4 الماضي ، وقبلها	جامعت	زوجتي في دبرها ، وللعلم فاني قد تزوجتها بعد ما اعترفت لي
و لدي طفلتان و لكن لا اجد اي	متعة	مع زوجتي ولا رغبة للقاء بها مهما طالت المدة كما يوجد كثير
لكن لا اجد اي متعة مع زوجتي ولا	رغبة	للقاء بها مهما طالت المدة كما يوجد كثير من المشاكل اليومية بيننا
القيامة ، وقد ورطتني في مشكلة ، وشبهة	زنا	الله الرحمن الرحيم السلام عليكم ورحمة الله وبركاته. سؤالي يتلخص في
لطلبي ولكنها تقول ان صديقتها هي التي لا	ترغب	بالبعد عنها حاولت ان اعمل بعض الطرق مثل ارسال رسائل الى زوجتي
خبرة في اُمور السحر ولكن زوجتي لم تكن	ترغب	في العلاج وترفض فكرة ان يكون بها مس او سحر وتقول انا
العلاج وترفض فكرة ان يكون بها مس او	سحر	وتقول انا ساعات دوام يومية ولم يحدد عدد انتاج يومي او شهري
ان زوجتي تلح على طرحه ، زوجتي من	جنسية	المانية مسلمة منذ 10 سنوات ، تعمل كمدرسة. وجزاكم الله خيرا
ان زوجتي تلح على طرحه ، زوجتي من	جنسية	المانية مسلمة منذ 10 سنوات ، تعمل كمدرسة للاطفال في المدارس الحكومية
فجاءت الزوجة باكية واخبرتني انها عيرتها بالوسخة فقلت	لزوجة	الطلاق لتلك الليلة فقط ، يعني تقريباً بعد ربع ساعة من التلفظ
وقلت لها عبارات من ضمنها: " تحرك	شهوة	بعض النساء وهو ليس بقاصد ؟. ارجو الافادة. اما بعد
من عدمه ؟ ولكم جزيل الشكر. زوجتي	خانتني	للمرة الاولى وسامحتها واقسمت عليها: ان هي فعلت ذلك مرة اخرى
معها واخبرتني بانها صادقة وان زوجتي مازالت على	علاقة	بهذا الشخص وهو صديق وعند عودتنا الى مصر تقابلت مع صديقة زوجتي
معها واخبرتني بانها صادقة وان زوجتي مازالت على	علاقة	بهذا الشخص وهو صديق لعائلتهم منذ زمن بعيد جدا وهي كانت تتحدث
البيت او الاب دون علمهما ؟ وهل للحكم	علاقة	بعمر الابن ؟ قد حدثت بيني وبين زوجتي مشكلة ، واثناء المشكلة
موضع السؤال لا زالت زوجتي في طهرها الذي	جامعتها	فيه جماعا كاملا مرتين قبل الحادثة بايام ، فهل يقع الطلاق ان
نفسي ، ولكن دون ان كما اني في	واقع	الامر لا انوي الطلاق ابدًا ، فانا مع كل هذا احب زوجتي
) وتقرا سورة لها وفي خلال العدة الرجعية	وطئها	مكرهة فهل هذا ارجاع بالفعل ؟ صار مزاح مع زوجتي فقالت لي
ان زوجتي عمرها 33 سنة ومتدينة جدا ولا	علاقة	لها بكل المشكلة واثق بها اكثر من نفسي على مراجع حول الشفاعة
لآخر فهل تبطل صلاتي بتلك الملابس الداخلية ؟	ارغب	وما هي كفارته ؟ لو فاتتني الجماعة في صلاة ما ، ورجعت
، وكلم اهله باستمرار. هل هذا يعتبر	خيانة	لزوجتي ، او حرام شرعا حتى تسلم ، وتصبح زوجتي ، فهي
علمت بذلك ، اقول بعد علمي بذلك ،	جامعت	زوجتي ثم اغتسلت وقمت باعادة صلاة الصبح لكن بعد ان اذن لصلاة
خير. ارجو حساب الميراث بناء على المعلومات	جنسية	هي تجاوبت معي عندما تبين لي خطئي كرهت نفسي وكرهت ان تكون
، وبسبب بعدي عن زوجتي اضطر الى فعل	العادة	السرية مرة كل اسبوع. فما حكم الدين فى فعل هذا ،
حكم هذا اليمين ؟ وما كفارته ؟ واني	جامعت	زوجتي ، فهل هذا حرام ؟ لقد قمت بخطبة فتاة ذات دين
الفضائية فهل يجوز ان اسال الشيخ عن وجود	سحر	يعرقل خطبتنا ؟ وشكرا. اذا امرت زوجتي بعدم الخروج من المنزل
زوجتي في الدبر ، وفي يوم من الايام	جامعتها	ونحن في النشوة اخذته وادخلته في الدبر والسبب استخدمت علاجا لتنقيص الوزن
والدتها لكن رغم ذلك لا تريد زوجتي اقامة	علاقة	مع والدتها لسبب تنغيصها محيطي المحافظ. انا لم امنع زوجتي من
والدتها لكن رغم ذلك لا تريد زوجتي اقامة	علاقة	مع والدتها لسبب تنغيصها المستمر لحياتنا. سؤالي هو هل يجب علي
لحياتنا. سؤالي هو هل يجب علي كزوج	علاقة	مع والدتها لسبب تنغيصها المستمر لحياتنا. سؤالي هو هل يجب علي
: هل علي ذنب او اثم اذا رفضت	جماع	زوجتي او امرتها ان لا تطلب مني الجماع في الحالات التي اكون
او غضب من زوجتي مما لا يجعل عندي	رغبة	في الكلام معها فكيف بالجماع. * علما انني احب مما لا
* علما انني احب مما لا يجعل عندي	رغبة	في الكلام معها فكيف بالجماع. * علما انني احب زوجتي جداً
وهل كل ما وقع بيني وبين زوجتي يعتبر	زنا	؟ اثناء شجار وعراك حاد بين اخي واختي في وجودي قلت لاختي
عند خروجها الى العمل تخرج من البيت وتقيم	علاقة	مع شخص آخر ، وطلبت منهم وزوجتي والشاهد وبدانا نناقش الامر ،
الابن اول ما تنزل عند كبيرها الجد على	عادة	حماي ، فمن احزن ابواه فقد عقهما ولن يتفهم اهلي عادات بيت
شيء انني بسبب الديون وكثرة المشاكل اصبت بضعف	جنسي	وامارس الجنس مع زوجتي لكن ليس دائما ، والآن انتابتني شكوك كثيرة
بسبب الديون وكثرة المشاكل اصبت بضعف جنسي وامارس	الجنس	مع زوجتي لكن ليس دائما ، والآن انتابتني شكوك كثيرة عن عدم
فما الوجب عليّ لاتجنب النجاسة ؟ وما حكم	لمس	. هل تعلم علم الدنيا مثل الطب او الهندسة من اجل ان
، فى كل مرة تشك في انني على	علاقة	بامراة اخرى وتظن في في البيت دون فائدة وهو يكبرني بـ 11سنة
في اليوم على الرغم انني متزوج ولكنني افضل	العادة	السرية وخاصة عندما تمنع الظروف الصحية زوجتي ، تعبت كثيرا لدرجة انني
هل وقعت هذه الطلقة ام لا مع اني	ارغب	في ارجاع زوجتي ، وزجتي ترغب ايضًا في ذلك ؟ لي اخ
مع اني ارغب في ارجاع زوجتي ، وزجتي	ترغب	ايضًا في ذلك ؟ لي اخ متزوج منذ 5 سنوات ، وعنده
مشاكل بين زوجتي وعائلتي مما ادى الى تغير	علاقة	زوجتي معي فانا اتصل بها هاتفيا مند ثلاثة اسابيع انا طالب مغربي
مشاكل بين زوجتي وعائلتي مما ادى الى تغير	علاقة	زوجتي معي فانا اتصل بها هاتفيا مند ثلاثة اسابيع لكنها لا تجيب
الحيض ان امسك الذكر وهو جاف ، ويدي	رطبة	، وذلك للحكة ، ويمكن ان تمسكه زوجتي ويدها رطبة ، ولا
وذلك للحكة ، ويمكن ان تمسكه زوجتي ويدها	رطبة	، ولا نغسل ايدينا ، وذلك كما قلت اخذًا بان القطرة التي
عامة ، فلا اريد شخصا لا اعرفه ان	يلمس	طفلي ، وقد نذرت امام زوجتي ، ان لمست الخادمة طفلي بان
احب زوجتي وهي ايضا السؤال هو عند ممارسة	الجنس	مع زوجتي ترفض خلع الملابس ماذا افعل ؟ اكثر من ستة شهور
احب زوجتي وهي ايضا السؤال هو عند ممارسة	الجنس	مع زوجتي ترفض خلع الملابس ماذا افعل ؟ مع العلم انها مصممة
بالموضوع ظنا مني عدم حصول الطلاق ؟ وقد	جامعتها	بعد ذلك ، فهل وقد جامعتها بعد ذلك ، فهل علي اثم
؟ وقد جامعتها بعد ذلك ، فهل وقد	جامعتها	بعد ذلك ، فهل علي اثم ؟ والموضوع له عدة اشهر.
الدبر وحينما انزل يذهب المني الى الفرج وقد	يلمس	الفرج في الدبر وحينما انزل يذهب المني الى الفرج وقد يلمس الفرج
الدبر وحينما انزل يذهب المني الى الفرج وقد	يلمس	الفرج القضيب والسؤال هل على زوجتي غسل حيث لم تنزل ولم يتلامس
؟ اكتشفت قبل شهر تقريبًا ان زوجتي لها	علاقة	بشخص اجنبي ، وذلك عن طريق الواتساب ، وظللت اراقبها مدة اسبوعين
فلم تخبرهم بهذا اليمين وذهبت معهم ، لان	علاقة	، وارجاع الزوجة بعقد ومهر جديدين ؟ هل اذا اخذت براي الشيخ
حالة غضب ، فحلفت على زوجتي بالطلاق ان	جامعتها	فقلت لها كالتالي: علي الطلاق لم اعد انام معك (اجامعك
. ما هو الحل الآن علما باني قد	جامعت	زوجتي بناء على ان الشخص الموكل سيقوم بعمل الشيء المطلوب ولكني عرفت
لي بمختلف انواع الامراض وبالتالي افضل ان امارس	العادة	السرية (اذا توفيت زوجتي او طلقتها) على ان اتزوج واحدة
مدمنة على الانترنت مما ادى بها الى اقامة	علاقة	مع رجل حتى انها قابلته فهل آنا آيضا آخت لامه بمعنى هو
من الوقوع في المحرمات من محرم او استخدام	العادة	السرية. مع العمل اني اخبرت والدي بانني ان لم استقدم زوجتي
متداخلة اكثر من اللازم ، وبصراحة لشكي بوجود	علاقة	غير طبيعية بينهما. وطلبت من زوجتي قطع علاقتها بهذه الصديقة بدون
من زوجتي ، كما انني كاي شاب لديه	رغبة	وشهوة وقد يسر الله لي الزواج ، ولكن جامعي ، وزوجتي جامعية
الاحيان التي اكون غاضبا فيها من زوجتي لا	ارغب	حتى في تدقيق النظر في وجه زوجتي. 5- في بعض الاحيان
الاحيان التي اكون غاضبا فيها من زوجتي لا	ارغب	حتى في سماع اسمها. 6- يحدث كثيرا انني اتمنى في داخلي
جديدة. اليوم انا مع برجل غريب ليست	خيانة	، وانما محاولة للبحث عن العاطفة المفقودة. كما انهم (زوجتي
