"من لها: اذهبي الى بيت ابيك ولا	حاجة	لي بك ، وعندي منها اولاد. زوجي مدمن حبوب مخدرة ،",,,
"من ابيه ، وبدا يحس ان امه لا	تريد	منه سوى المال تزوجت قبل 6 اعوام لكن في الحقيقة كنت اتمنى",,,
"تزوجت قبل 6 اعوام لكن في الحقيقة كنت	اتمنى	شخصاً آخر",,,
"سنوات وانا متدينة جدا وهو ايضا ولكن عنده	شهوة	غريبة بانه لم كانت كي لا ينظر الى امراة غيري ، ولكن", والآن انا احب زوجي مخافة من رب العالمين اي,,
"بكلام وليس فعلا حقيقيا وكان زوجي بعد ان	يشتهي	بقيت فترة اطيع زوجي واجاريه في حديثه بما انه كلام بكلام وليس",,,
"بكلام وليس فعلا حقيقيا وكان زوجي بعد ان	يشتهي	كثيرا يمارس معي العلاقة الزوجية وهو بقمة السعادة ولكن عندما ينتهي ويصل",,,
"، فهل ، وانا اعاني من الشهوة و	اتمنى	ممارسة الجماع اكثر من ذلك. طلبت من زوجي هذا الطلب",,,
"هذا الطلب",,,
"شيء حتى لا افكر بالموضوع ، لكن بصراحة	اشتهي	زوجي و اشعر بالضيق و الاحباط الشديد لعدم ممارسة الجماع واخاف ان"," و كان الجواب بانه لا	يشتهي	ذلك دائما و علي الالتهاء باي ذلك دائما و علي الالتهاء باي",,
"اي اذية. ارجوكم ان تساعدوني على هزيمة	هوى	نفسي ارجوكم افيدوني لاني في بحر من الحيرة. وجزاكم الله عني",,,
"مما سبب القلق لاسرتي ، ولم يكن لي	هدف	سوى ان يكون زوجي رجلًا صالحًا ، ومتدينًا ، يخاف الله.",,,
"زوجي ، وانا راضية بالوضع لحين اليسر ان	شاء	لله ، ولكن عندما سالني الموظف: من العمر 32 عاما ،",,,
"، وبصراحه انا لي احتياجات جنسية ، وكنت	اتمنى	من زوجي ان يخفف عني ولو وانا على تواصل مع زوجي ،",,,
"، وبصراحه انا لي احتياجات جنسية ، وكنت	اتمنى	من زوجي ان يخفف عني ولو باي طريقة ؛ لاني احس بان",,,
"منذ اشهر بيني وبين زوجي وعرسنا قريب ان	شاء	الله ـ ومنذ ذلك الوقت والمشاكل تلاحقنا فلا يمر علينا يوم مني",,,
"امر آخر: احيانا تخرج مني افرازات دون	شهوة	. فهل اعيد الوضوء للصلاة ؟ زوجي اهانني واغضبني بدون ذنب وقال",,,
"قام زوجي بتوصيلي الى بيت اهلي بناءً على	طلب	مني لادخال الاهل في مشاكلنا التي اصبحت معها باولادي ، لانني احبهم",,,
"عني قضية البنت وامها ، وغفرت لهم ذلك	رغبة	في اصلاح ما بيننا جميعا جميعا ، وبداية حياة جديدة من غير",,,
"لا بد ان تكون اموال الزكاة قاصرة على	اختار	احداهن وادفع له النصيب كاملا ام اوزعه بينهن ؟ افيدونا جزاكم الله",,,
"لي بالعمل ، مع العلم ان هذا الجزء	طلب	الطلاق ؟. انا متزوجة ، واعيش انا وزوجي في منزل اهله",,,
"غرفة مستقلة ، ولا ياتي لغرفتي الا اذا	اراد	الجماع ويفعله مثل اعود الى الوطن في الاجازة الصيفية. رجاء الرد",,,
"ترافقنا في نزهاتنا ، فهل من الاثم ان	ارغب	في قضاء اوقات مع زوجي وحدنا ونحن متزوجان حديثا ؟. 6ـ",,,
"النصيحة ، واني لكم من الشاكرين. اريد	طلب	الطلاق او ترك زوجي ، والسبب هو انه لا يؤمن بالنبي محمد",,,
"اعمل ؟ انا تزوجت من سبعة اشهر وان	شاء	الله ساُرزق بطفل ، كان زوجي يعامل اهلي على الاصول والواجب ،",,,
"الكبيرة ، والشقة باسمي ؛ لان زوجي لا	يرغب	في ان: ميكروباص يعمل عليها زوجي. السيارة باسم ابنتنا الكبيرة",,,
"الكبيرة ، والشقة باسمي ؛ لان زوجي لا	يرغب	في ان يكون شيء باسمه. هل بعد وفاته يحق لاخوته شيء",,,
"زوجي ارضًا بسعر اكثر من مالي ، فلم	ارغب	فيها ، وطلبت البحث عن ارض اخرى ايضًا ان ينقل ملكية البيت",,,
"الطلاق هل لها كل شيء علما باني لا	رغب	في تطليقها ؟ زوجي يحبني جدًّا",,,
"، وقال لها: انت زوجتي ، دون	قصد	عقد الزواج. هل بهذا يصح كان زواجي هذا باطلا. ماذا", وانا ايضًا, ولكنه عند,
"ولكنني اصررت على زوجي ، فهل يحق لي	طلب	الطلاق ؟ وهل هناك خيار اصلح به حالي ؟. امراة متزوجة",,,
"اخذ امه من عنده الا ان امه لا	تريد	الذهاب وتريد البقاء في بيتها البقاء في بيتها لان هناك حشرا وفي",,,
"بالنسبة له هي كل شيء ويطلب منها كل	حاجة	علي وعليها ؟ و جزاكم الله خيراً عني وعنها. انا اعيش",,,
"التي انا فيها ، اذ ان زوجي ايضا	يعجب	الفتيات كل يوم سبت مساء يخرج بداعي الشغل يشتغل في الجامعة واستغرب",,,
"بان امي جاءت بغرض اداء عمرة معه والآن	تريد	ان تعود لتونس حالاً لان زوجي ضربني امامها ظلما وقلل من احترامها",,,
"بسيطا خلف راسه ، ومن المؤكد انه بغير	قصد	، زوجي غضب ، وعند كلامي معه ضربني على وجهي مما تسبب",,,
"لي وزوجي بالهداية وحسن الخلق وان كنت من	اختيار	ابنها مع العلم انني حامل في الشهر الخامس ، ومع ذلك نفذ",,,
"الى الحل المناسب لاني لا المناسب لاني لا	ارغب	في خراب بيتي ، مع العلم باني لم اسئ في معاملة زوجي",,,
"دون علم زوجي لآخذ منه النصيحة ، وان	طلب	محادثة زوجي فساخبره ، فما الحكم في حديثي له الزوجية ، فتحدثت",,,
"دون علم زوجي لآخذ منه النصيحة ، وان	طلب	محادثة زوجي فساخبره ، فما الحكم في حديثي له دون علم زوجي",,,
"؟ وزوجي يخبرني انه لا النصيحة ، وان	طلب	محادثة زوجي فساخبره ، فما الحكم في حديثي له دون علم زوجي",,,
"كلام حب واشتياق حرام ؟ خاصة اذا حدثت	شهوة	؟ وما هي تفسيرات هذه اذا حدثت شهوة ؟ وما هي تفسيرات",,,
"شهوة ؟ وما هي تفسيرات هذه اذا حدثت	شهوة	؟ وما هي تفسيرات هذه الاحلام ؟ وهل يجوز ان اخرج مع",,,
"يحضرها الي ، وبعد 3 سنين من زواجنا	طلب	زوجي البنت ، لم تقبل ستها ام امها اعطاءها لزوجي ، وعندما",,,
"يتسنى لكم افادتي بالحكم الذى لاريب فيه ان	شاء	الله. وجزاكم الله خيرا. زوجي مسافر الى احدى البلاد العربية",,,
"ولا اريد ان انظر الى اي انسان باي	شهوة	وهو يدرك ارجوك بالله عليك ماذا افعل ؟ وهي تتهمني انني ظالم",,,
"استاذنه بالعمولة ايضاً ؟ هل علي ذنب في	طلب	الطلاق من زوجي المريض نفسيا بعد رفضه للعلاج نهائيا وخوفي على نفسي",,,
"الزفاف العام القادم بعد تخرجي من الجامعة ان	شاء	الله ، ولكن زوجي بدا يطالب بالجماع بي ولكني كنت ارفض دائما",,,
"يؤثر على الانجاب ، كما قال الاطباء ان	شاء	الله ؟ زوجي ارسل رسالة على جوال والدي اذا لم تاتي في",,,
"عن طريق علاقته لي كنت اجاريها لاعرف ماذا	تريد	مني ؟ ولم اتوقع ابدا ان تكون هذه اخلاق زوجي الرجل الذي",,,
"لي بانه يريدني حقًّا للزواج",,,
"العودة للوطن بعد اكمال زوجي دراسته ـ ان	شاء	الله ـ والعمل مكمل لدراسته لانه تدريب في اختصاصه ومطلوب من ،"," وانا ايضًا	اتمنى	ان يكون زوجي مثله", فهل يمكننا البقاء على اتصال عن طريق,
"او اما من المكان المحلل له والطبيعي لا	يرغب	ويكره. فارشدني ماذا افعل لكي اجعل زوجي انسانا طبيعيا ؟ منذ",,,
"غير زوجي. اشعر بصراحة بتانيب الضمير لانها	تريد	ذلك ليس من باب انها تحبني او تخاف 2014. قبل فتحها",,,
"الله اعلم ان مصيبتي في زوجي عظيمة ولا	ابغي	اي شيء من ميراثه وبتركي لهم نصيبي في الميراث يكون بذلك نصيبي",,,
"وبتركي لهم نصيبي في الميراث يكون بذلك نصيبي	ابغي	اي شيء من ميراثه وبتركي لهم نصيبي في الميراث يكون بذلك نصيبي",,,
"، هو لا يهتم باي علماً باني لا	ارغب	في العمل وارغب في الجلوس في البيت وتربيه ابني",,,
"الدين لكن زوجي اصر كعادته بتعلله اننا في	حاجة	لهذه الارض وتم ذلك بالتراضي بينهما ، فهل لي الحق في الاعتراض", ولكن زوجي,,
"اهلي ببعض من راتبي الشهري غير ان زوجي	طلب	مني التوقف بسبب حاجتنا للراتب كله ، وهكذا فان كل راتبي يذهب",,,
"الفوتوغرافية وانا متخمرة لكن المشكلة هي ان زوجي	يرغب	في اخذ صور تذكارية ليلة البناء بدون خمار مع تعهده بان لا",,,
". سوالي هو ان زوجي في بعض الاحيان	يرغب	في مشاهدة افلام تعليم الجماع ويطلب مني ان اراها ، ولكنني الكنبة",,,
"زوجي ابدا ويقول لي خلي ابني على ما	يهوى	، ولكن ديننا لا يسمح بهذا ، ؟ انا سيدة متزوجة من",,,
"ومضى على قائمة منقولات ، فهل يحق لي	طلب	المؤخر فهل يحق لي طلب المؤخر وقيمة قائمة المنقولات دون حدوث طلاق",,,
"فهل يحق لي طلب المؤخر فهل يحق لي	طلب	المؤخر وقيمة قائمة المنقولات دون حدوث طلاق ؟. وشكرا. زوجي",,,
"ان اهجر اختي التي تستمع مع الاسف ان	شاء	الله ؟ افتونا ما هو العمل ؟ وجزاكم الله خيرا. زوجي",,,
"سنة ـ واحضرها لتعيش بمنزل امي ، وكان	قصد	زوجي من القطيعة منعا للمفسدة ، علما بان لي ابنتين يخاف عليهما",,,
"صار ابو زوجي اذا قال له ان زوجتي	تريد	مكالمتك قفل في وجهي السماعة وهذا يزيد في تعبي مع العلم اننا",,,
"في قطع الزيارة والكلام معهم بما انهم لا	يرغبون	في ، لكن زوجي يفضل التقليل في مكالمته لهم اي كل اسبوعين",,,
"، ولا اعلم ان كانت بقصد او بغير	قصد	، وسؤالي هو من الزنا الذي يقام على صاحبه الحد ؟ ام",,,
"التقسيط سيكون السعر اغلى ، وقال في حال	اخترنا	التقسيط فان الاقساط ستحسم من حساب زوجي ببداية كل شهر لصالح شركة",,,
"حصل بينهما خلاف وصل الى القضاء هي من	طلب	الطلاق منه حصل بينهما خلاف وصل الى القضاء هي من طلب الطلاق",,,
"حصل بينهما خلاف وصل الى القضاء هي من	طلب	الطلاق منه فطلقها القاضي في نية زوجي ان يطلقها لكن طلقها القاضي",,,
"زوجي لم يلق الطلاق عليها بوجهها نظرا للمشاكل	طلب	الطلاق منه فطلقها القاضي في نية زوجي ان يطلقها لكن طلقها القاضي",,,
"، ولا اعرف لماذا يخطرون ببالي ، ولا	اتمنى	صدقا ان يكونوا بدل زوجي ـ لا سمح الله ـ بل وان",,,
"قرية ريفية بعيدة عن عملنا ودراستنا بالمدينة)	طلب	منه لما فيه من عادات وتقاليد متبعة عندهم ، مخالفة لتربيتي في",,,
"بمناداتي لم اجب عليه الا بقول نعم ولم	يعجب	زوجي بالرد وقال لي بان احضر الاذكار في هذه اللحظة قام زوجي",,,
"بمناداتي لم اجب عليه الا بقول نعم ولم	يعجب	زوجي بالرد وقال لي بان احضر عنده للعلم انه في تلك اللحظة",,,
"احتاج منه اي مبلغ مع اني كنت في	حاجة	انا و زوجي",,,
"تختلق المشاكل ؛ لانها من 14. لا	تريد	ان تذهب لاي بيت الا زيارة وتعود لبيتها ، وتريد من زوجي", و كانت هي تجلس على الانترنت طول يومها,,
"نفس مستوى اساس منزل اسرتي بناء على على	طلب	حماتها حرصا على اتمام الزيجة وذلك بناء على اتفاق مع اهل زوجها",,,
"انا لا اطيق العيش معه ولا وفرحي ان	شاء	الله قريب في بعض الاوقات تحصل لي اثارة وافكر في الموضوع واتخيل",,,
": انا امراة متزوجة ، وملتزمة بالحجاب.	طلب	مني زوجي ان ارتدي النقاب ، قلت له: لا امانع ،",,,
"اخلع النقاب لاني اولاً: لبسته بناء على	رغبة	زوجي وليس بناء على رغبتي ، ثانياً: لاني اتعب منه جداً",,,
"ولا يكشف شيئا وارتاح جداً فيه وكثيراً ما	يعجب	الناس وفى بعض الاحيان يعجب زوجي ، ولكن احيانا اخرى يريد ان",,,
"فيه وكثيراً ما يعجب الناس وفى بعض الاحيان	يعجب	زوجي ، ولكن احيانا اخرى يريد ان البس اطقم اخرى فى المناسبات",,,
"؟ هل يجوز كشف الوجه وفي بعض الاحيان	نزع	الحجاب حتى اتمكن من زيارة زوجي في السجن ؟ عبر احد الاحزاب",,,
"لدوامه وانا ذهبت لبيت اهلي ، وفي المساء	طلب	مني زوجي ان اذهب للنوم في وما الكفارة ؟ ذهب زوجي لدوامه",,,
"لدوامه وانا ذهبت لبيت اهلي ، وفي المساء	طلب	مني زوجي ان اذهب للنوم في بيتي (وانا اخاف من المبيت",,,
"مع اني لم اتشاجر برفق اقل) وانا	اعجب	منه صراحة! اليس من حقي كزوجة ان ارفض سفر زوجي بدوني",,,
"وقمت بالامضاء ، وبعدها سالت زوجي: هل	تريد	الطلاق ؟ فقال: نعم ، وقام بالامضاء على الورقة ، وبعدها",,,
"آخر ويقوم بتشغيل شرائط ايضا ليستمع الزبائن حسب	طلب	صاحب وبعد ان قرات رايكم في ذلك اقتنعت بحرمتها. فما حكم",,,
". كنت اعلم انه سيعود ، وايضًا لاسباب	امنية	، خوفًا على اهلي اذا عرفوا ان زوجي سافر للجهاد في سوريا",,,
"الجلوس معه في خلوة وخلع حجابها امامه ؟	ارغب	في الانفصال عن زوجي لاسباب عديدة جدا ، حيث ينعكس على حالتي",,,
"مع البنك الاسلامي مباحا شرعاً ، لان زوجي	اراد	شراء سيارة اجرة على حساب البنك الاسلامي ؟ الاحظ على بعض الناس",,,
"الذي يعطيهم اياه زوجي جزء بسيط جداً ما	شاء	او اعمامي اوخالتي من زكاة زوجي اوصدقته مع العلم انهم بحاجة والقسم",,,
"الذي يعطيهم اياه زوجي جزء بسيط جداً ما	شاء	الله ولا قوة الا بالله من زكاة ماله ولله الحمد خيرًا -",,,
"تزويجي من شاب فاسد ، فهل يجوز لي	اختيار	زوجي بنفسي ، واكون ولية نفسي مع العلم بانني ليس لي اقارب",,,
"ام حرام ؟ نذر زوجي ذبح خروف فلما	اراد	ان يوفي عجز ولم يجد الشجاعة ، فاخذت منه السكين واستلمت حكم",,,
"مال الزكاة. الآن بسبب مرضي المستمر ،	طلب	زوجي مني فيرد زوجي علي: اعطيهم من مال الزكاة. الآن",,,
"مال الزكاة. الآن بسبب مرضي المستمر ،	طلب	زوجي مني احضار خادمة لتساعدني بالبيت ، ولكني ارفض ذلك الامر لما",,,
"زوجي وما عم اقدر احفظه شو سوي.	طلب	مني صديقي ان اعطيه مبلغا من المال حذفها نهائيا بحيث لا تكون",,,
"حيث انه طلقني الطلقة الثالثة ، وعند ما	اراد	الرجوع ذهب للشيخ ، فحسب ؟ وماذا كان يجب علينا فعله ؟",,,
"الى بلدها ، فوافقت على ذلك. ولكن	طلب	مني زوجي ان يذهب بها الى منزل والدته حتى تنتهي اجراءات السفر",,,
". لا اشك في عدل الله ، لكن	اتمنى	التوضيح فيها ، بارك الله فيكم. كثيرا ما كان يحصل خلاف",,,
"متزوجة منذ 8 سنوات وعلمت ان زوجي له	رغبات	نحو الجنس الاخر ـ اي الرجال ـ صبرت كثيرا معه ليرجع عن",,,
"باقي العمال تعففوا ورفضوا المال وهو كان فى	حاجة	اليه. المساعدة لانه كان رافضا للفكرة وزوحي قال له اعتبرها مساعدة",,,
"بسبب تصرفاتها واثارتها للمشاكل بدون اسباب واقعية مجرد	خيال	وتوقعات!! ولكم تحياتي. زوجي الحمد لله يصلي ويلبي كل",,,
"بالعمل وانجبت منه في الحرام فهل من الجائز	طلب	الطلاق من زوجي والارتباط بهذا الرجل ؟ ماحكم العمل في مجال الكلاب",,,
"في في هذا وجزاكم الله خيراً. انا	اتمنى	ان ارتدي النقاب لانه الزي الشرعي ولكن زوجي لا يوافق عليه وهو",,,
"في خلاف آخر اذا فتحت في موبايلي اي	حاجة	مثل واتساب او فيسبوك باذني او وصفته في سؤالي ، فقد ارتكبت",,,
"54 سنة زوجي بدا يشك في رغم اني	حاجة	عام 87 و13 عمرة ، اطلب من الله حسن لساعة الا ربعا",,,
"ثم عرفت انه يقوم باستئجار اشخاص من جهات	امنية	وكنت قد تبت الى الله ، وكفرت عن ذنبي ، ويعلم الله",,,
"الردة ، وحاليا اصبحت اخاف من الظهار:	طلب	زوجي من ابني تغيير حذائه قبل خروجنا ، فقلت له انه يرتدي",,,
"والدي سكنا مستقلا ، وبعد سنة من زواجي	طلب	مني زوجي تاجير بيتنا اجار حج فرفضت ، فطلب مني دخول والديه",,,
"تتكلم معه في غيابي وتقول له انها ما	تبغي	تفرق بيننا وانها تقول تبغي تفرق بيننا وانها تقول له هذا الكلام",,,
"له انها ما تبغي تفرق بيننا وانها تقول	تبغي	تفرق بيننا وانها تقول له هذا الكلام لحبها لاخيها وخايفة على شرفه",,,
"يخدمها الكثير غير اخيها الذي هو زوجي ولكنها	تريد	ان تبقى هناك بجانب عملها. والف شكرلكم. وافق لي رئيسي",,,
"اؤول رؤيا زوجي في منامه ، بناء على	طلب	منه ؟ مع العلم اني انسانة عادية ، ليس يستطع ان يضرني",,,
"وانه مع اقل سوء تفاهم مع زوجي ،	اتمنى	الموت بشدة ، وكل مرة تمر امام عيني صور الانتحار ، واشعر",,,
"! ولم يدخله شيء من العلاقات الشاذة.	اتمنى	قراءة مشكلتي بصدر رحب ، لقد طلقني زوجي ثلاث مرات متفرقة ،",,,
"بمال اخي الذي لم يرحمني هو الآخر من	طلب	يقل لي اتصرف ، وهل بالله عليكم انا قلت له من الاصل",,,
"اصح لا يعطيه مالاً خاصاً به ، وعندما	طلب	زوجي من والده ان يكون لديه مرتب محدد قال له والده وانت",,,
"عمله ، فرضت على زوجته خدمتهم. وان	اراد	زوجي طلاقي لهذا السبب فهو حقة وحقي انا الا اسامحه. انا",,,
"بعد عدة اشهر يقول انه لا يذكر هل	قصد	التحدث مع شاب بالهاتف ام التحدث فقط في نطاق العمل ، وما",,,
"ادعوا لها ، وبالرغم من ذلك فهي لا	تريد	ان تتصل بي عبر الهاتف. واقترحت ام زوجي ان اقوم انا",,,
"امه الحقيقية ، حيث لا يعلم ان ،	اتمنى	الاجابة حتى اخبرها وبارك الله فيكم. (بفضل الله من راتب",,,
"بل بالعكس ومع كثرة مقارنتي بهن ، اصبحت	ارغب	بان اكون مثلهن في معاملتهن لازواجهن ، وهو ما اصبح يضايق زوجي",,,
"سافرت حرسلك ورقتك. او قال بها دون	تمني	زوالها) ، وفقكم الله وبارك في جهودكم العظيمة ؟ ياشيخ:",,,
"زوجي عنده مرض ولا نعرف علاجه يشكو من	حاجة	مثل الاعصاب ما بين الكتفين ويمسك عليه. واعانكم الله على الخير",,,
"لها ، واودعت نقودا لي جادة فعلا في	طلب	العلم ولكن دون فائدة في تلك الفترة كنت قد تزوجت وتوفق زوجي",,,
"لله والصلاة والسلام علي رسول الله. فقد	طلب	صاحب العمل من زوجي القيام بتاسيس مكتب تمثيل له في احدى البلاد",,,
": انا احب زوجي حبا شديدا - ما	شاء	الله لا قوة الا بالله - واحب ان اناديه باسماء ذلك لان",,,
"و...) افيدوني افادكم الله. زوجي	طلب	مني مبلغا من المال وانا رفضت ان اعطيه ، علما انني اعطيته",,,
"لي ان اعاملها وادخلها بيتي حيث انها لا	تريد	غير الخراب بتسلطها ان ابعد عني الغرور والعجب والرياء. وجزاكم الله",,,
"الشخص الذي هو من طرف زوج اخته وياخذ	حاجة	ونحن سنحضر ونحن سنحضر غيرها ونبعثه وثانى يوم احضرنا غيرها وبعثناه وفوجئنا",,,
"؟ انا امراة متزوجة وام لثلاثة اطفال ،	طلب	زوجي منّي الاذن حتّى يتسنّى له الزواج من امراة ثانية ذلك انّ",,,
"الموضوع: بماذا اخطات ؟ وهل يجوز لزوجي	يرغب	في هذا الفعل ؟ وجزاكم الله كل خير. سؤالي هو:",,,
"فيها في الاخير: مع انه معاق ولا	يشتهي	النساء مع هذا مشاكل منها مصافحة الاقرباء من غير المحارم وحضور حفلات",,,
"ضرب زوجي لي ، وعلى اثر هذا والدي	طلب	من زوجي التعهد له بعدم تكرار الذي فعله طرحت الجنين الذي ببطني",,,
"ضرب زوجي لي ، وعلى اثر هذا والدي	طلب	من زوجي التعهد له بعدم تكرار الذي فعله من الضرب او استضافة",,,
"حوانيت للكراء وذلك بمساعدة اولاده الماديّة طبعا وقد	اراد	حمايا اخذ قرض من اخذ قرض من البنك بفائدة حيث انّ في",,,
"واخلى المنزل ، الآن ملفنا في المحكمة ابي	طلب	نفقة دينها ولله الحمد ـ فانا متزوجة منذ 6 سنوات وعندي ولد",,,
". واود زيارة مختص للعلاج ، خصوصا انني	ارغب	في الانجاب ، غير ان زوجي رافض بتاتا لهذه الفكرة ، على",,,
"من ثواب لمن يقشعر بدنه من خشية ذلك	طلب	الخلع ؟ وهل يجبرني الشرع بالموافقة على طلبها بدون رضاي ، فافيدوني",,,
"احزاب وما زلت ، ادعوا لي بختمه ان	شاء	الله. مشكلتي اني كلما حدثت مشكلة بيني وبين زوجي ، يعيرني",,,
"هذه الخطوط من بالتعيين ؟ هناك انسان انا	معجبة	به كثيراً وفيه كل ما اريد واتمنى ان يكون زوجي المستقبلي هو",,,
"دائما اتجرع الالم عندما اتذكر منزل الزوجية وكنت	اتمنى	لو ان زوجي كان ملتزما بتعاليم الله. ماذا افعل لكي اتخلص",,,
"ان يحلف بالله كاذباً في هذه الحالة اذا	طلب	منه المتقاطعان ؟ زوجة اخي زوجي تخونه ، وهو يعرف احيانا ويتشاجر",,,
"عن هذا الهراء ويسكت ولا يفعل وترشدوني فى	اختيار	افضل المذاهب الاربعة والكتاب الذى يبدا به في المذهب ؟ اقيم برفقة",,,
"مع العلم انّني تراجعت عن قراري - اي	طلب	الطلاق - واردت الصّلح لكن امّ زوجي رفضت ذلك بشدّة",,,
"؟ وشكرا. سؤالي هو: اريد تقديم	طلب	توظيف في التربية في منطقة عمل زوجي والسكن في تلك المنطقة انا", ومنعتني,,
"زوجي ، وبهذا نبتعد عن اهله الذين نسكن	طلب	توظيف في التربية في منطقة عمل زوجي والسكن في تلك المنطقة انا",,,
"الرجل على مثل حاله الاول. ام زوجي	تريد	ان تاخذ مفتاح شقتي وتستعملها هي وابناؤها في غيابي",,,
"الفاس بوك وان هذه العلاقات غير بفتوى امراة	تريد	قطع الرحم انا لا اريد ذلك بل اريد ان لا يتدخل اهل", وانا وزوجي,,
"الذهاب الى الاراضي فضل صلاة التسابيح قلت ان	شاء	الله ساصلي كل يوم هذه الصلاة حتى لما اتزوج زوجي ان شاء",,,
"يوم هذه الصلاة حتى لما اتزوج زوجي ان	شاء	الله يصليها معي ، ولكن هناك ايام كثيرة لم اوف بالنذر اكون",,,
"امام اولادي ، حتى انني وصلت لمرحلة ان	رغبة	جنسية الى الزوجة ، وهناك كثرة مشاكل. فما هو الحل ؟",,,
"، ولما اخبرت زوجي بذلك ضربني ، ثم	طلب	مني السماح ، فهو شخص طيب ، لكني لست مرتاحة ، لكني",,,
"في بداية الامر عندما كنت حاملا في ابني	طلب	مني والدي ان انفصل عن زوجي ولكني رفضت ذلك حيث انني كنت",,,
"لا ليست كل All Fatawa لا ليست كل	حاجة	بيني وبينك تقول لي اهلي ، انا اريد ان احتفل مع زوجي",,,
"الطلاق صحيح ، واذا كان صحيحا هل اذا	اراد	زوجي ارجاعي وانا في العدة يجب ان يرجع لابي ، مع العلم",,,
"عسكريا ، والنظام الجديد يحكم بالشيء هذا وكانت	رغبة	مني ان استقطع جزءاً من All Fatawa ، والنظام الجديد يحكم بالشيء",,,
"Fatawa ، والنظام الجديد يحكم بالشيء هذا وكانت	رغبة	مني ان استقطع جزءاً من الراتب لام زوجي ، ولكن ام زوجي",,,
". فهل عليهم All Fatawa بالشيء هذا وكانت	رغبة	مني ان استقطع جزءاً من الراتب لام زوجي ، ولكن ام زوجي",,,
